,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,K_Means,Churn
0,4.0,1,2,6.0,2,0,3.0,3.0,2,1,2,9.0,1,11.0,1.0,1.0,5.0,159.93,3,1
1,10.0,1,0,8.0,4,1,3.0,4.0,3,2,2,7.0,1,15.0,0.0,1.0,0.0,120.9,3,1
2,10.0,1,0,30.0,2,1,2.0,4.0,3,2,2,6.0,1,14.0,0.0,1.0,3.0,120.28,3,1
3,10.0,1,2,15.0,2,1,2.0,4.0,2,4,2,8.0,0,23.0,0.0,1.0,3.0,134.07,3,1
4,10.0,1,0,12.0,1,1,3.0,3.0,3,4,2,3.0,0,11.0,1.0,1.0,3.0,129.6,3,1
5,10.0,0,0,22.0,2,0,3.0,5.0,3,4,2,2.0,1,22.0,3.5,6.0,7.0,139.19,0,1
6,10.0,1,2,11.0,0,1,2.0,3.0,2,1,0,4.0,0,14.0,0.0,1.0,0.0,120.86000000000001,3,1
7,10.0,1,0,6.0,1,1,3.0,3.0,3,1,0,3.0,1,16.0,2.0,2.0,0.0,122.93,3,1
8,13.0,1,2,9.0,3,1,3.0,4.0,3,2,0,2.0,1,14.0,0.0,1.0,2.0,126.83000000000001,3,1
9,10.0,1,0,31.0,2,1,2.0,5.0,3,2,2,2.0,0,12.0,1.0,1.0,1.0,122.93,3,1
10,4.0,1,0,18.0,0,0,2.0,3.0,4,2,0,2.0,0,15.0,3.5,6.0,8.0,272.32625,0,1
11,11.0,1,0,6.0,2,1,3.0,4.0,0,2,2,10.0,1,13.0,0.0,1.0,0.0,153.81,2,1
12,10.0,1,0,11.0,0,1,2.0,3.0,3,2,2,2.0,1,13.0,2.0,2.0,2.0,134.41,3,1
13,10.0,1,0,15.0,1,1,3.0,4.0,3,2,0,1.0,1,17.0,0.0,1.0,0.0,133.88,3,1
14,9.0,1,2,15.0,1,1,3.0,4.0,0,1,2,2.0,0,16.0,0.0,4.0,7.0,196.19,2,1
15,10.0,1,1,12.0,4,1,3.0,3.0,3,4,1,5.0,1,22.0,1.0,1.0,2.0,120.72999999999999,3,1
16,10.0,0,0,12.0,2,0,3.0,4.0,3,1,2,2.0,1,18.0,1.0,1.0,0.0,129.26,3,1
17,10.0,1,2,11.0,3,1,2.0,4.0,2,2,2,2.0,1,11.0,1.0,1.0,3.0,157.44,3,1
18,10.0,0,0,13.0,2,1,3.0,5.0,2,2,2,2.0,1,24.0,1.0,1.0,6.0,160.74,1,1
19,19.0,1,0,20.0,2,0,3.0,3.0,3,3,0,10.0,1,18.0,1.0,4.0,3.0,149.63,2,1
20,10.0,1,2,12.0,2,1,3.0,5.0,2,2,0,5.0,1,18.0,3.5,6.0,7.0,161.72,0,1
21,20.0,1,0,29.0,1,0,3.0,3.0,0,1,0,2.0,0,12.0,3.5,6.0,6.0,203.12,0,1
22,10.0,1,2,28.0,3,1,2.0,3.0,3,2,2,2.0,1,19.0,0.0,1.0,0.0,116.75,3,1
23,10.0,1,2,26.0,2,0,3.0,5.0,2,2,0,4.0,1,11.0,1.0,2.0,2.0,145.59,1,1
24,14.0,0,0,14.0,2,1,2.0,5.0,0,1,2,3.0,0,15.0,0.0,1.0,3.0,206.5,2,1
25,10.0,1,0,15.0,1,0,2.0,3.0,3,4,2,8.0,0,22.0,1.0,1.0,4.0,142.0,3,1
26,8.0,1,2,6.0,3,1,3.0,3.0,0,3,0,2.0,0,13.0,1.0,1.0,6.0,172.95,3,0
27,10.0,1,2,12.0,3,1,2.0,3.0,2,2,0,3.0,1,20.0,0.0,4.0,5.0,123.06,3,0
28,18.0,1,0,14.0,2,1,2.0,3.0,2,3,1,9.0,0,18.0,1.0,1.0,14.5,123.47999999999999,3,0
