iter	RMSE
0	0.3592725809
1	0.3464520428
2	0.3345671078
3	0.3250800659
4	0.3130803187
5	0.3044979088
6	0.2968550054
7	0.2888119832
8	0.2799558276
9	0.2718551867
10	0.265494881
11	0.2589471068
12	0.2518939119
13	0.2459424983
14	0.2412686235
15	0.2355718593
16	0.2302598421
17	0.2254299833
18	0.2216288962
19	0.2174674408
20	0.2139589569
21	0.2102073847
22	0.2069195007
23	0.2042260938
24	0.2013495488
25	0.1984935215
26	0.1957652384
27	0.1932819517
28	0.1901778071
29	0.1873199903
30	0.1855567296
31	0.1839733684
32	0.1823751206
33	0.1807111688
34	0.1789546222
35	0.1767269676
36	0.174734732
37	0.1721697463
38	0.170041006
39	0.1684302704
40	0.166573074
41	0.165144845
42	0.1634695254
43	0.1621860726
44	0.1610779122
45	0.1603410121
46	0.1592742564
47	0.1576505189
48	0.1564444913
49	0.1554468432
50	0.1543352765
51	0.1530076986
52	0.1515336855
53	0.1502071473
54	0.1490857877
55	0.1479282201
56	0.1456144964
57	0.1447375934
58	0.1434772437
59	0.1423470183
60	0.141096084
61	0.1398226834
62	0.1387570592
63	0.1373623686
64	0.1363443243
65	0.135754593
66	0.1350805641
67	0.1342349617
68	0.1334337683
69	0.1323561927
70	0.1317419039
71	0.1307178776
72	0.129674019
73	0.1280899524
74	0.1267990684
75	0.1259281725
76	0.125080784
77	0.1242821869
78	0.1234628986
79	0.1230519553
80	0.1225579392
81	0.1220629747
82	0.1216461763
83	0.1212636558
84	0.1203298825
85	0.1192652212
86	0.1182781257
87	0.1171725859
88	0.1169280935
89	0.1163156649
90	0.1155332196
91	0.1146221861
92	0.1132038851
93	0.1125125782
94	0.1118770707
95	0.1114626557
96	0.1105385989
97	0.1098049174
98	0.1090295763
99	0.1081048642
