iter	Passed	Remaining
0	18	1787
1	35	1731
2	52	1702
3	71	1718
4	97	1846
5	115	1805
6	132	1761
7	150	1735
8	168	1708
9	186	1678
10	204	1654
11	222	1631
12	240	1607
13	257	1580
14	274	1557
15	292	1534
16	309	1513
17	327	1491
18	348	1484
19	368	1475
20	387	1458
21	407	1444
22	427	1432
23	447	1418
24	466	1400
25	485	1381
26	505	1367
27	523	1346
28	541	1326
29	561	1309
30	581	1293
31	599	1274
32	619	1258
33	638	1239
34	656	1219
35	676	1202
36	695	1184
37	713	1163
38	731	1144
39	750	1125
40	770	1108
41	789	1089
42	808	1071
43	827	1053
44	847	1035
45	866	1017
46	885	998
47	904	979
48	924	962
49	942	942
50	961	923
51	980	905
52	999	886
53	1018	867
54	1038	849
55	1057	830
56	1081	816
57	1103	799
58	1122	780
59	1141	761
60	1161	742
61	1180	723
62	1199	704
63	1217	685
64	1235	665
65	1254	646
66	1273	627
67	1291	607
68	1310	588
69	1329	569
70	1348	550
71	1366	531
72	1385	512
73	1405	493
74	1423	474
75	1443	455
76	1461	436
77	1479	417
78	1497	398
79	1516	379
80	1535	360
81	1555	341
82	1574	322
83	1593	303
84	1612	284
85	1632	265
86	1651	246
87	1670	227
88	1688	208
89	1707	189
90	1725	170
91	1744	151
92	1762	132
93	1780	113
94	1798	94
95	1817	75
96	1837	56
97	1856	37
98	1875	18
99	1894	0
